,teamname,outs,base_state_retro,chosen_runner_strategy,model_optimal_strategy,chosen_strategy_payoff,model_optimal_payoff,payoff_diff,sp1,sp2,speed_1b,speed_2b,speed_3b,arm_strength
3092,DET,1,110,[],[],0.0,0.0,0.0,0.0010466862441688084,0.3709367853903609,28.5,29.1,,95.6
3093,LAN,1,101,[],[],0.0,0.0,0.0,0.00040413771931921384,0.07642785607286112,26.7,,27.2,94.3
3095,NYN,1,11,"[3, 2]","[2, 3]",0.779,0.779,0.0,0.9904701689434127,0.9999130807447161,,27.1,28.0,93.2
3096,NYN,1,11,"[3, 2]",[3],0.779,0.3670323999999999,0.4119676000000001,0.15938854592513962,0.5864561822426858,,24.7,27.8,95.6
3097,NYN,0,110,[],[],0.0,0.0,0.0,0.002259824147514765,0.09819513506316739,27.8,26.0,,93.2
3098,MIA,0,110,[2],[2],0.6679999999999999,0.6679999999999999,0.0,0.3961703610795526,0.9992778525483114,26.1,29.3,,88.5
3099,MIN,1,110,[2],[2],0.0549999999999999,0.0549999999999999,0.0,0.4270432348904618,0.9909399470407924,26.5,26.5,,93.3
3100,MIA,1,110,[],[2],0.0,0.0245224,-0.0245224,0.06053656645055905,0.8992778763924252,27.7,26.3,,89.7
3101,ARI,1,11,[3],[3],0.737,0.737,0.0,0.23382262468352605,0.9943570018177887,,27.1,27.7,93.3
3103,MIA,0,110,[2],[2],0.6679999999999999,0.6679999999999999,0.0,0.4852445952098075,0.9966139713517983,26.3,28.4,,89.5
3105,MIA,0,101,"[3, 1]",[],0.098,0.0,0.098,0.3372585701380944,0.9998465913928894,27.5,,29.3,98.2
3106,ATL,0,110,[],[],0.0,0.0,0.0,0.0018492189579014007,0.0013890776474387472,28.2,26.4,,95.6
3107,ATL,1,11,"[3, 2]","[2, 3]",0.779,0.779,0.0,0.998453475878806,0.9972317382957184,,28.0,26.4,89.1
3108,MIA,0,11,[],[3],0.0,0.0577215999999999,-0.0577215999999999,0.0019647373423558848,0.7575011953878532,,26.6,29.3,91.8
3109,MIA,1,11,[],[],0.0,0.0,0.0,0.01817336497115522,0.08440152922163345,,26.6,29.3,100.2
3114,SDN,0,110,[],[2],0.0,0.6123487999999999,-0.6123487999999999,0.33374815830742227,0.9484883011056024,28.5,27.7,,89.1
3116,MIA,0,110,[],[2],0.0,0.5010463999999999,-0.5010463999999999,0.007602209693519655,0.8203634594433604,26.1,26.6,,100.7
3119,MIA,1,101,[3],[3],0.7290000000000001,0.1866659999999999,0.5423340000000002,0.0011677874572602197,0.3358808362308586,26.6,,26.1,94.3
3121,MIA,1,110,[],[],0.0,0.0,0.0,4.459444733880362e-06,0.011245400564530625,26.1,29.8,,97.4
3122,MIA,0,110,[],[2],0.0,0.2320655999999999,-0.2320655999999999,0.004053927830033003,0.5232144157040408,26.6,26.1,,99.1
3123,MIA,1,101,[3],"[1, 3]",0.7290000000000001,0.7578448,-0.028844799999999893,0.6671123653464373,0.999664625449668,29.3,,26.3,93.1
3124,MIA,1,110,[],[],0.0,0.0,0.0,0.00021783202835497426,0.0017809656458589581,26.1,29.8,,93.3
3125,MIA,1,101,[3],[3],0.7290000000000001,0.7290000000000001,0.0,0.17991637328211543,0.9996140352193699,26.3,,27.7,92.6
3126,MIA,1,110,[],[],0.0,0.0,0.0,0.008899542294698665,0.5269173437988789,27.7,26.3,,93.1
3127,SLN,1,101,[3],[3],0.7290000000000001,0.7039692000000001,0.02503080000000002,0.010664739092949354,0.9765889081357365,26.4,,27.8,95.6
3128,MIA,1,110,[],[2],0.0,0.0549999999999999,-0.0549999999999999,0.6253742424067235,0.9979717789932654,27.4,26.3,,92.0
3129,MIA,1,110,[],[2],0.0,0.0042039999999999,-0.0042039999999999,0.3685348820164415,0.8541423603607099,27.7,23.6,,98.6
3130,MIA,0,110,[2],[2],0.6679999999999999,0.6123487999999999,0.05565120000000001,0.4515396208716097,0.9462501906701083,27.2,26.3,,98.6
3131,MIA,1,101,[3],[3],0.7290000000000001,0.6288768,0.10012320000000008,0.0017050303268155186,0.8934787444870261,26.6,,26.1,102.6
3132,DET,1,101,[3],[3],-0.498,0.6288768,-1.1268768,0.024635430040824836,0.8826510169319491,29.1,,28.1,93.3
3133,DET,1,110,[],[],0.0,0.0,0.0,0.011778967121481906,0.006039456405310851,29.1,28.1,,93.3
3134,PHI,0,110,[2],[2],0.6679999999999999,0.6679999999999999,0.0,0.4210782964562339,0.9907531877750398,28.8,27.2,,93.2
3135,MIA,1,11,[3],"[2, 3]",0.737,0.779,-0.04200000000000004,0.9993721666736851,0.9997147527913754,,27.5,28.0,87.5
3136,PHI,1,101,[],[3],0.0,0.0948863999999999,-0.0948863999999999,0.000243118262481617,0.23043322806596667,28.6,,28.6,95.6
3137,MIA,0,110,[],[2],0.0,0.3990191999999999,-0.3990191999999999,0.004349118081192273,0.6982343512429449,23.6,27.8,,98.3
3138,HOU,0,110,[],[2],0.0,0.343368,-0.343368,0.02737945670331392,0.6408217494462197,28.2,26.3,,93.3
3139,HOU,0,110,[],[],0.0,0.0,0.0,0.004164868839201501,0.0007164327660991458,28.2,26.3,,93.3
3141,TBA,0,110,[2],[2],0.6679999999999999,0.6401743999999999,0.027825600000000006,0.06598241569352695,0.9775037494701327,27.5,28.7,,89.3
3142,TBA,1,101,[3],[3],0.7290000000000001,0.7290000000000001,0.0,0.36510586419103847,0.999432452354689,27.5,,28.7,89.3
3143,TBA,1,11,[],[],0.0,0.0,0.0,0.031133069179975176,0.012467172687707535,,27.8,26.6,95.6
3144,MIA,1,110,[],[2],0.0,0.0448407999999999,-0.0448407999999999,0.0876434053272019,0.969040352072148,28.4,28.0,,95.6
3145,MIA,0,110,[],[],0.0,0.0,0.0,0.002040324932283175,0.11806100580518232,28.0,26.1,,93.7
3146,ATL,0,110,[2],[2],0.6679999999999999,0.6679999999999999,0.0,0.08496158372277846,0.9904910447656353,26.2,28.1,,95.6
3147,ATL,1,101,"[3, 1]",[3],0.829,0.6789384,0.1500615999999999,0.0011385656869925887,0.9409987634804643,26.2,,28.1,93.2
3149,MIL,1,110,[],[],0.0,0.0,0.0,0.004123214237758549,0.4708905401529692,29.4,27.6,,95.6
3150,MIA,1,11,"[3, 2]","[2, 3]",0.779,0.7488896,0.03011039999999998,0.8783774438086068,0.9913800712850301,,27.5,27.7,98.6
3151,MIL,1,110,[2],[2],0.0549999999999999,0.0245224,0.030477599999999903,0.13197303809787395,0.92432922104784,27.8,25.9,,93.2
3153,MIL,1,101,[3],[3],0.7290000000000001,0.7290000000000001,0.0,0.39210780300301573,0.9994731275410733,27.6,,28.1,93.7
3156,BOS,1,101,[3],[3],0.7290000000000001,0.1616352,0.5673648000000001,0.00020346953847841,0.30685899089644064,25.2,,27.3,98.6
3157,MIL,1,101,[3],[3],0.7290000000000001,0.7290000000000001,0.0,0.020819458406000177,0.998671050468501,23.5,,28.1,93.6
3159,BOS,1,110,[2],[2],0.0549999999999999,0.0448407999999999,0.0101592,0.36794070676940643,0.9718405770027343,29.5,24.9,,98.6
3162,ANA,1,101,[3],"[1, 3]",0.7290000000000001,0.7823043999999999,-0.05330439999999981,0.775565068856231,0.9997931881311825,27.7,,26.2,86.5
3163,MIL,0,110,[],[2],0.0,0.5010463999999999,-0.5010463999999999,0.5780162210817171,0.8102326845854813,29.4,26.4,,87.7
3164,MIL,0,110,[],[2],0.0,0.6401743999999999,-0.6401743999999999,0.4820403922633977,0.9628402933542947,23.5,28.1,,93.0
3165,LAN,1,110,[],[],0.0,0.0,0.0,0.13140528800790904,0.2898640742035121,26.5,27.0,,86.5
3166,KCA,1,101,[3],[3],0.7290000000000001,0.7290000000000001,0.0,0.2853591939018278,0.9999483253746094,24.3,,30.5,86.5
3169,SFN,1,110,[],[],0.0,0.0,0.0,0.19396687335728124,0.1420815136432885,26.7,26.1,,86.5
3170,SFN,1,101,[3],[3],0.7290000000000001,0.6539076000000001,0.07509239999999995,0.01717859026162128,0.9156905706134372,25.8,,26.0,97.8
3171,MIL,0,110,[2],[2],0.6679999999999999,0.6679999999999999,0.0,0.2822036563045856,0.9937576705051137,26.5,29.0,,91.1
3173,MIL,1,11,"[3, 2]","[2, 3]",0.779,0.5901799999999999,0.1888200000000001,0.8069686266170972,0.8334227066696985,,28.0,26.4,99.7
3175,OAK,0,110,[],[],0.0,0.0,0.0,0.0002534126408507679,0.05412767643953748,28.4,27.2,,98.6
3177,MIL,1,110,[],[],0.0,0.0,0.0,0.004102449274694381,0.7925824934766522,26.0,27.6,,94.3
3178,MIL,0,110,[],[],0.0,0.0,0.0,0.0003914163214255659,0.18368317306536275,27.6,28.0,,93.1
3181,MIL,1,110,[],[],0.0,0.0,0.0,0.07361232150587761,0.13845647660212596,25.0,28.7,,93.4
3182,CIN,1,110,[],[2],0.0,0.0406576,-0.0406576,0.5711943438954591,0.906361181610803,28.8,28.4,,86.5
3183,CIN,0,101,[3],[],-0.0649999999999999,0.0,-0.0649999999999999,0.01117413893242501,0.8952539737788873,29.0,,28.3,98.6
3184,ATL,0,101,[3],[],-0.0649999999999999,0.0,-0.0649999999999999,0.002064388649857217,0.8729062189608292,26.0,,26.2,98.6
3185,MIL,0,110,[],[],0.0,0.0,0.0,0.0028167343446736386,0.04606413794278856,30.0,29.4,,91.8
3186,MIL,0,11,"[3, 2]","[2, 3]",0.5589999999999999,0.5589999999999999,0.0,0.9934186755775161,0.9998774671437582,,29.0,28.6,95.7
3187,MIL,1,101,"[3, 1]",[3],0.829,0.4620048000000001,0.36699519999999985,0.0030763698495672675,0.6704919297458242,28.0,,27.6,100.2
3188,MIL,0,110,"[2, 1]",[2],0.486,0.6679999999999999,-0.18199999999999994,0.2611561337017296,0.9859435975464874,29.0,28.0,,92.9
3189,CIN,1,101,[],[3],0.0,0.603846,-0.603846,0.0009063447728310699,0.84471253436311,28.0,,29.0,86.5
3190,MIL,1,110,[],[2],0.0,0.0448407999999999,-0.0448407999999999,0.059233032183574695,0.9675443856571493,28.1,28.9,,93.1
3191,MIL,1,110,[],[],0.0,0.0,0.0,0.002433253844950892,0.00885912306700293,27.8,28.6,,100.4
3193,PIT,1,110,[],[],0.0,0.0,0.0,0.1615633470854935,0.2549153837456686,28.4,28.2,,86.5
3196,MIN,0,101,[3],[],-0.0649999999999999,0.0,-0.0649999999999999,0.0008143676138685609,0.9061561019193828,25.4,,27.0,97.8
3197,MIL,0,110,[2],[2],0.6679999999999999,0.6401743999999999,0.027825600000000006,0.05051448640161228,0.9644024316492861,26.5,28.1,,101.3
3198,MIN,1,110,[],"[1, 2]",0.0,0.0174359999999999,-0.0174359999999999,0.7503229241826976,0.7985183935340036,28.0,27.6,,86.5
3200,MIL,0,110,[],[2],0.0,0.6401743999999999,-0.6401743999999999,0.20584523255444423,0.9841053748992443,25.9,26.5,,99.3
3201,PHI,1,110,[],[],0.0,0.0,0.0,0.00024874501178921216,0.09421742761408193,28.6,28.6,,93.4
3202,PHI,1,11,"[3, 2]",[3],0.779,0.7242607999999999,0.0547392000000001,0.7871319902572607,0.9726317788229744,,27.6,30.3,97.8
3203,MIL,0,110,[2],[2],0.6679999999999999,0.6679999999999999,0.0,0.7126469326223611,0.9988186117562051,27.8,29.0,,97.1
3204,PHI,1,101,[],[3],0.0,0.3618816,-0.3618816,0.004293269828944643,0.5543813220448163,29.5,,28.6,87.9
3206,MIL,1,101,[3],[3],0.7290000000000001,0.7039692000000001,0.02503080000000002,0.016381552395876575,0.9627256014268409,28.8,,28.0,95.6
3207,MIA,1,101,[3],[3],0.7290000000000001,0.7290000000000001,0.0,0.10891971061775664,0.9911474787330107,28.0,,26.1,97.8
3208,MIL,0,110,[],[],0.0,0.0,0.0,0.0038216997378433216,0.0025218537142850978,29.4,26.4,,91.3
3209,MIL,1,110,[],[],0.0,0.0,0.0,0.025658220633410132,0.6275037060167012,29.4,26.4,,98.6
3210,MIL,1,110,[2],[2],0.0549999999999999,0.0448407999999999,0.0101592,0.026898733010608942,0.9607477291807954,28.1,29.4,,95.4
3212,MIA,1,110,[],[],0.0,0.0,0.0,0.0032452817912743278,0.0036812428330600623,29.3,27.7,,94.0
3213,MIA,0,110,[],[2],0.0,0.6679999999999999,-0.6679999999999999,0.6438851651725543,0.999042813800752,27.2,27.7,,90.6
3214,MIA,1,101,[3],[3],0.7290000000000001,0.7039692000000001,0.02503080000000002,0.0058409075238684185,0.9755518069677189,26.1,,26.3,94.0
3215,NYN,0,101,[3],[],-0.0649999999999999,0.0,-0.0649999999999999,0.004070306617392815,0.9462354355125888,24.7,,27.8,89.5
3216,SDN,1,110,[],[],0.0,0.0,0.0,0.0035216883740400566,0.0005458517714952178,28.3,26.8,,87.9
3218,NYN,1,101,[3],[3],0.7290000000000001,0.4369740000000001,0.292026,0.00011547936081580774,0.654445087603568,23.6,,27.4,89.2
3219,ATL,0,110,[],[],0.0,0.0,0.0,3.2804825494667014e-05,0.032494690911979186,26.2,28.0,,90.9
3220,ATL,0,110,[],[],0.0,0.0,0.0,0.11341501130428404,0.024064076293452256,28.0,26.0,,87.9
3222,NYN,1,110,[],[],0.0,0.0,0.0,0.0038651319204678985,0.20206400241161548,27.8,23.6,,91.5
3223,COL,1,110,[2],[2],0.0549999999999999,0.0448407999999999,0.0101592,0.06790539783743436,0.9804279515395173,26.4,27.6,,96.8
3224,COL,1,101,[3],[3],0.7290000000000001,0.603846,0.1251540000000001,0.06295845130489479,0.8560152955886262,29.9,,28.1,94.0
3225,COL,0,101,[3],[],-0.0649999999999999,0.0,-0.0649999999999999,0.05218964632315875,0.777588826020761,28.1,,26.4,90.6
3226,NYN,1,110,[],[],0.0,0.0,0.0,6.454744616179303e-05,0.0036899522930801338,27.1,23.6,,101.2
3227,CLE,0,110,[2],[2],0.6679999999999999,0.6401743999999999,0.027825600000000006,0.30487682185052056,0.9798244710763424,25.9,25.8,,90.9
3229,NYN,1,101,"[3, 1]",[3],0.829,0.7172208,0.11177919999999997,0.07777705407910514,0.9807342986769021,28.1,,27.1,92.9
3230,NYN,1,110,[],[],0.0,0.0,0.0,0.001639256515313753,0.4954400126865043,27.4,28.0,,92.6
3231,TOR,0,110,[],[2],0.0,0.1485887999999999,-0.1485887999999999,0.0059566836750431775,0.4439918712053665,28.5,26.2,,96.8
3232,TOR,1,110,[],[2],0.0,0.0143632,-0.0143632,0.05056263011566116,0.8707508367845751,28.5,26.2,,96.8
3236,NYN,0,101,"[3, 1]",[],0.098,0.0,0.098,0.12886963997485765,0.9913149609234979,27.4,,27.1,98.6
3237,SLN,0,101,[],[],0.0,0.0,0.0,7.359371652275942e-05,0.1629682928186229,27.1,,28.8,96.8
3238,MIL,0,110,[],[],0.0,0.0,0.0,0.00030177087753020424,0.2038434910737056,26.5,28.1,,96.8
3239,MIL,1,110,[2],[2],0.0549999999999999,0.0448407999999999,0.0101592,0.06279880711660896,0.9796406415027398,26.5,28.1,,96.8
3240,MIL,0,110,[],[],0.0,0.0,0.0,0.11983049522022567,0.05153596849386912,28.1,26.5,,94.0
3241,NYN,1,11,"[3, 2]",[3],0.779,0.6557876,0.1232124,0.09831406037929137,0.9005008742392827,,27.3,27.8,94.3
3242,LAN,0,110,[2],[2],0.6679999999999999,0.6679999999999999,0.0,0.14949091672547873,0.9961978082727828,26.4,28.9,,96.8
3243,NYN,0,101,[3],[],-0.0649999999999999,0.0,-0.0649999999999999,0.011262878601121266,0.95338525486679,28.1,,27.8,96.9
3245,CHA,1,11,[3],[3],0.737,0.737,0.0,0.3705469559925071,0.9995758447979676,,22.8,28.0,87.9
3246,WAS,1,11,[],[3],0.0,0.421174,-0.421174,0.06716313393883509,0.6554616927281227,,27.2,25.1,90.9
3249,WAS,1,101,[3],[3],0.7290000000000001,0.7290000000000001,0.0,0.05477499869084788,0.9980439458469579,25.8,,27.2,90.9
3251,NYN,1,101,[],[3],0.0,0.4870356,-0.4870356,0.000567124815641486,0.7234772138978457,27.8,,28.1,89.2
3254,ATL,1,110,[],[],0.0,0.0,0.0,0.010500039073262869,0.8115728769298957,26.2,28.1,,90.9
3256,NYN,0,101,[3],[],-0.0649999999999999,0.0,-0.0649999999999999,0.0024397156815960832,0.8232168235346606,26.0,,28.1,93.3
3257,ANA,0,11,"[3, 2]","[2, 3]",0.5589999999999999,0.5083167999999997,0.05068320000000026,0.936225654265377,0.9800984606270502,,27.8,26.8,90.6
3259,NYN,1,110,[],[],0.0,0.0,0.0,6.254860860643729e-05,0.028440691240570373,26.3,26.4,,97.0
3261,SEA,1,101,[3],[3],0.7290000000000001,0.1366043999999999,0.5923956000000001,0.0011976910595526758,0.2955104994744382,26.4,,26.7,95.7
3262,SEA,1,110,[],[2],0.0,0.0549999999999999,-0.0549999999999999,0.18587521521637582,0.9915581250531998,26.7,27.0,,95.7
3263,ARI,1,101,[3],[3],0.7290000000000001,0.6288768,0.10012320000000008,0.0046356620921771275,0.8930861013299679,26.2,,27.1,95.7
3264,ARI,1,11,[],[3],0.0,0.2046075999999999,-0.2046075999999999,0.008865734813356311,0.41723702984500954,,27.8,27.7,90.9
3267,MIA,1,101,[],[3],0.0,0.4119432,-0.4119432,0.00045506117316061447,0.6188644453244815,28.4,,29.3,90.6
3270,CIN,0,110,[2],[2],0.6679999999999999,0.6679999999999999,0.0,0.17051379943241207,0.9885370017377773,28.3,28.0,,87.5
3271,CIN,1,101,[3],[3],0.7290000000000001,0.6789384,0.05006160000000004,0.003396349781791004,0.9341568860758671,28.3,,28.0,97.1
3272,PHI,0,101,[3],[],-0.0649999999999999,0.0,-0.0649999999999999,0.1984991282386079,0.9984030497083015,28.6,,26.6,93.2
3273,MIA,1,110,[2],[2],0.0549999999999999,0.0549999999999999,0.0,0.1407218531366495,0.985630442681774,26.1,26.3,,99.3
3274,MIA,1,110,[],[],0.0,0.0,0.0,0.005364708672722218,0.6960856478360162,26.3,28.4,,97.1
3275,MIA,1,110,[2],[2],0.0549999999999999,0.0448407999999999,0.0101592,0.1234701247274968,0.9763162408052223,27.2,27.7,,99.3
3277,COL,1,101,"[3, 1]",[3],0.829,0.5287536,0.3002463999999999,0.0007781049787216657,0.7713866560512395,25.6,,27.6,87.5
3279,COL,0,110,[],[],0.0,0.0,0.0,5.5277197859547105e-05,0.0007785319956676396,28.1,26.5,,97.1
3280,PHI,0,110,[2],[2],0.6679999999999999,0.6679999999999999,0.0,0.11118725682118491,0.9855150001770291,28.8,29.2,,93.1
3283,PHI,1,11,"[3, 2]","[2, 3]",0.779,0.7089752,0.0700248,0.8907194354070292,0.930554365276371,,27.6,28.8,95.4
3289,PHI,1,101,[3],[3],0.7290000000000001,0.1366043999999999,0.5923956000000001,0.003199448076431465,0.29383916526324705,27.2,,25.0,93.7
3290,PHI,1,110,[2],[2],0.0549999999999999,0.0549999999999999,0.0,0.3211166116264483,0.9986692196459032,25.0,28.6,,95.7
3291,PHI,0,101,[3],[],-0.0649999999999999,0.0,-0.0649999999999999,0.01381293215443913,0.9434628916646292,28.8,,28.6,100.2
3292,PHI,1,110,[],[],0.0,0.0,0.0,0.000950423440713819,0.0023790148982475085,28.6,26.6,,94.0
3293,PHI,1,101,[3],[3],0.7290000000000001,0.6539076000000001,0.07509239999999995,0.005688640164277144,0.9212323430937768,28.6,,27.6,103.0
3297,PHI,1,11,[3],[3],0.737,0.3670323999999999,0.36996760000000006,0.028431521798786705,0.5914117834025726,,29.5,28.0,104.3
3298,BAL,1,110,[],[],0.0,0.0,0.0,0.0008686795623067449,0.3498447814590846,28.7,30.1,,99.3
3299,PHI,1,11,"[3, 2]","[2, 3]",0.779,0.779,0.0,0.9993307473209762,0.9999805928568251,,26.6,25.0,91.6
3300,WAS,1,110,[],[],0.0,0.0,0.0,8.769425690351035e-05,0.0021892147056242353,25.1,25.8,,92.0
3301,PHI,1,101,"[3, 1]",[3],0.829,0.6288768,0.20012319999999995,0.00018097101827211056,0.8829180535803591,25.0,,29.5,101.3
3302,PHI,0,101,[3],[],-0.0649999999999999,0.0,-0.0649999999999999,0.05006440668961554,0.9988527608675252,27.2,,30.3,101.3
3303,PHI,1,11,[],[3],0.0,0.2858199999999999,-0.2858199999999999,0.5520580961746858,0.4852002319161931,,30.3,27.3,101.2
3304,PHI,1,110,[],[2],0.0,0.0143632,-0.0143632,0.006237758277126563,0.8888762341038504,27.6,30.3,,93.0
3305,PHI,0,11,[],[3],0.0,0.0391984,-0.0391984,0.006709742175796842,0.7433273136489544,,28.6,30.3,101.2
3306,MIN,1,110,[],[],0.0,0.0,0.0,5.024235951988952e-05,0.011418728102472558,25.0,26.5,,101.2
3307,PHI,1,110,[],[],0.0,0.0,0.0,0.0016207741065144903,0.5777714792083096,25.0,28.6,,96.5
3308,PHI,1,110,[],[2],0.0,0.0448407999999999,-0.0448407999999999,0.0576539753395099,0.9713098969703196,26.6,28.8,,91.3
3309,ANA,1,110,[2],[2],0.0549999999999999,0.0549999999999999,0.0,0.23462346730571276,0.9875157028738014,28.6,27.4,,87.5
3310,PHI,1,110,[],[],0.0,0.0,0.0,0.09467274570641722,0.3925724544957754,29.5,28.8,,92.1
3312,MIA,1,11,[3],[3],0.737,0.737,0.0,0.2327911002176507,0.99219184132673,,25.9,26.1,92.0
3313,ATL,1,110,[2],[2],0.0549999999999999,0.0346815999999999,0.0203184,0.05560440973887506,0.9299617519954044,26.4,26.2,,99.3
3315,ATL,1,110,[],[],0.0,0.0,0.0,0.0066865877211584514,0.6548372180354943,28.0,27.7,,87.5
3316,PHI,1,110,[],[],0.0,0.0,0.0,0.00035405584699045275,0.09665634761142383,27.6,26.6,,100.2
3317,ATL,1,101,[3],[3],0.7290000000000001,0.7290000000000001,0.0,0.2729691756378961,0.9995798995241367,27.6,,28.0,101.2
3318,PHI,1,101,[3],[3],0.7290000000000001,0.7290000000000001,0.0,0.25505381832388657,0.9937289928097202,28.6,,27.6,90.6
3319,NYN,0,110,[],[2],0.0,0.0094607999999999,-0.0094607999999999,0.0011738845693759605,0.290244026516489,26.3,27.3,,101.2
3320,PHI,1,11,"[3, 2]","[2, 3]",0.779,0.779,0.0,0.9876910382773244,0.9960285477671106,,30.3,25.0,93.1
3321,PIT,0,110,[],[],0.0,0.0,0.0,8.492948737800305e-05,0.009153146974381935,28.4,28.6,,101.2
3322,PIT,1,110,[2],[],0.0549999999999999,0.0,0.0549999999999999,0.02127564328707036,0.7996204210526651,28.4,28.6,,101.2
3323,PHI,0,110,[],[2],0.0,0.5566975999999999,-0.5566975999999999,0.007537752184750544,0.8717044545240856,27.6,30.3,,93.1
3326,HOU,1,110,[],[],0.0,0.0,0.0,0.007906508511652614,0.15646375232581108,26.3,26.3,,93.3
3328,HOU,1,110,[],[],0.0,0.0,0.0,3.785078454546642e-05,0.00018427336996962863,28.1,29.2,,100.4
3329,HOU,0,101,[3],[],-0.0649999999999999,0.0,-0.0649999999999999,0.18514923743224954,0.9963642954287142,28.1,,28.4,100.4
3331,PIT,1,110,[],[],0.0,0.0,0.0,0.2051610775528795,0.10782277565130992,27.1,27.8,,93.2
3333,PIT,1,110,[],[],0.0,0.0,0.0,0.002167820225671248,0.0002899652098739819,27.1,24.5,,87.7
3336,TOR,0,110,[2],[2],0.6679999999999999,0.6679999999999999,0.0,0.7612442484743005,0.9961024280348949,28.1,27.1,,93.1
3337,PIT,1,110,[],[],0.0,0.0,0.0,0.00041138724736828426,0.025433151352166075,27.1,28.6,,94.2
3338,TOR,1,110,[],[],0.0,0.0,0.0,0.0008031875363896366,0.10114923263685945,28.8,27.1,,93.1
3339,PIT,1,110,[],[],0.0,0.0,0.0,0.006149618475181456,0.013023051008060617,27.1,27.6,,93.9
3340,COL,1,101,[3],[3],0.7290000000000001,0.6789384,0.05006160000000004,0.0027598045825277364,0.940237302448461,26.4,,27.6,93.3
3341,PIT,0,110,[],[2],0.0,0.0929375999999999,-0.0929375999999999,0.09042131844606302,0.3800375729874484,28.2,29.7,,95.3
3342,PIT,1,110,[],[],0.0,0.0,0.0,0.002278124401409665,0.19281375597619269,27.8,24.5,,89.7
3343,TEX,1,101,[],[3],0.0,0.31182,-0.31182,0.00043786532224456416,0.4882599564288709,25.8,,26.8,93.3
3344,SLN,0,110,[],[],0.0,0.0,0.0,2.2556653342775154e-05,0.00014487007708971418,26.4,27.1,,93.3
3345,SLN,1,110,[],[],0.0,0.0,0.0,0.46639145419034206,0.4453489776106383,26.4,27.1,,93.3
3346,PIT,1,110,[],[],0.0,0.0,0.0,3.950630102185544e-05,0.0003486461954478757,27.1,28.4,,95.3
3347,OAK,0,11,"[3, 2]","[2, 3]",0.5589999999999999,0.5589999999999999,0.0,0.9907222757657573,0.992705031927301,,27.3,27.1,93.3
3348,OAK,1,110,[],[],0.0,0.0,0.0,1.3303747275274608e-05,6.448024448018013e-05,27.1,27.3,,100.4
3350,OAK,1,101,[],[3],0.0,0.1866659999999999,-0.1866659999999999,9.625936499771021e-05,0.35060959034411737,27.1,,27.3,92.6
3351,PIT,0,110,[],[2],0.0,0.5010463999999999,-0.5010463999999999,0.011374179713835256,0.8143668495576442,27.8,27.6,,88.2
3352,PIT,1,110,[],[],0.0,0.0,0.0,0.003758287962880415,0.561113155627507,28.4,27.8,,88.2
3355,PIT,1,110,[],"[1, 2]",0.0,0.1349639999999999,-0.1349639999999999,0.9764624191250926,0.9991544332389899,29.7,27.1,,90.9
3356,PIT,1,11,[3],[3],0.737,0.737,0.0,0.552849714665617,0.9990125440460221,,27.1,28.6,94.0
3358,PIT,0,101,"[3, 1]",[],0.098,0.0,0.098,0.49402971926279726,0.9991570879493673,27.3,,28.6,89.5
3359,PIT,1,101,[],[3],0.0,0.6789384,-0.6789384,0.00039578587659221207,0.9382624535190767,24.5,,28.8,89.4
3361,PIT,1,11,[3],"[2, 3]",0.737,0.7564171999999999,-0.019417199999999912,0.8960497169284191,0.9965106798638386,,25.9,28.2,89.4
3362,MIL,0,101,[3],[],-0.0649999999999999,0.0,-0.0649999999999999,0.047437069120387594,0.9991953630174798,23.5,,26.5,93.1
3364,SFN,1,110,[],[],0.0,0.0,0.0,0.18405225803471076,0.7470718318376032,26.4,26.2,,100.4
3365,SFN,0,110,[],[],0.0,0.0,0.0,3.982570320549628e-05,0.0005432410974062635,25.8,26.4,,93.3
3367,PIT,0,110,"[2, 1]",[2],0.486,0.5566975999999999,-0.07069759999999992,0.06409414692195921,0.8786466455346986,28.2,25.9,,94.0
3368,CLE,1,110,[],[],0.0,0.0,0.0,0.5837918449282314,0.5017859474729605,29.2,25.9,,100.4
3369,PIT,0,101,[],[],0.0,0.0,0.0,0.00011852442107430832,0.03251503825074424,28.4,,28.2,92.9
3372,PIT,1,110,[2],[2],0.0549999999999999,0.0454383999999999,0.009561600000000003,0.630098371290967,0.9507584903184656,28.4,27.8,,92.0
3373,PIT,1,11,"[3, 2]","[2, 3]",0.779,0.779,0.0,0.9880165015698581,0.9951588402809599,,28.2,28.4,87.5
3374,PIT,0,110,[],[],0.0,0.0,0.0,0.007517209813932934,0.02202135678169076,27.8,27.1,,99.3
3376,PIT,0,110,[],[2],0.0,0.3990191999999999,-0.3990191999999999,0.6256755972933273,0.724512024867724,28.4,27.8,,90.2
3379,PIT,1,101,"[3, 1]",[3],0.829,0.6539076000000001,0.17509239999999981,0.006032076066489859,0.9210134348423591,27.1,,27.8,91.5
3380,PIT,1,11,"[3, 2]","[2, 3]",0.779,0.7714724000000001,0.007527599999999968,0.9578591527966194,0.999707846467178,,28.6,28.4,91.7
3381,PIT,1,110,[],[],0.0,0.0,0.0,0.0006246542559079866,0.018338965482016377,29.3,27.8,,93.2
3383,PIT,1,11,[],[3],0.0,0.0241355999999999,-0.0241355999999999,0.0003155557752795168,0.21628470007790432,,27.1,28.4,94.7
3384,PIT,1,110,[2],[2],0.0549999999999999,0.0549999999999999,0.0,0.2587606857082994,0.9973536025158712,27.8,29.7,,98.6
